  PID TTY          TIME CMD
18100 ?        00:00:19 firefox
18177 ?        00:00:04 Web Content
18239 ?        00:00:00 Web Content
18280 ?        00:00:00 kworker/3:2H
18322 ?        00:00:00 kworker/2:1H
18348 ?        00:00:02 deepin-terminal
18353 pts/0    00:00:00 bash
18442 ?        00:00:02 subl3
18456 ?        00:00:00 plugin_host
18593 ?        00:00:00 kworker/1:0H
18618 ?        00:00:00 kworker/u16:3
18623 pts/0    00:00:00 func.sh
18628 pts/0    00:00:00 ps
